,Lake ID,Bacillariophyta,Chlorophyta,Chrysophyta,Cryptophyta,Cyanophyta,Dinophyta,Euglenophyta,Microcystis,Total_biomass
1,1,0.014365578,12.11735322,0,0,10.87403937,0,0,0,23.00575817
2,3,0.013990576,0.076368416,0.001463086,0.636979391,0.470170077,0.025819329,0.008408268,0,1.233199143
3,6,0.24931419,10.24237822,0,11.93819866,0,0,2.110262091,0,24.54015317
4,7,7.160056986,0.339773437,0,2.037532283,47.87637897,0,0,33.25841801,57.41374167
5,8,16.83447448,2.448969965,0.451536925,4.710302986,0,5.332943713,1.11039831,0,30.88862638
6,9,0.340756066,5.674286292,0,0.262199367,12.60660887,35.32767032,9.305819391,6.868653024,63.51734031
7,10,0.564375914,0.029552967,0,0.983530684,27.95012214,0,0,26.96174258,29.5275817
8,11,0.002448861,0.150223108,0,0,0.001359733,0,0.068934856,0,0.222966558
9,12,46.26727316,4.779737919,0.027014083,1.635790802,1.454050817,0,1.146696715,0.147015415,55.3105635
10,13,0.719687342,0.048123476,0,0,50.00445806,0,0,49.97806685,50.77226888
11,15,23.23949249,2.225896876,0,1.804452811,21.97816449,0,0,0,49.24800667
12,16,3.938322524,0.122908222,0,0,1.950659861,0,0,0,6.011890607
13,17,3.646077094,1.73364124,0,2.24271755,13.94880324,0,0,0,21.57123913
14,18,0.165472482,0.174905771,0,8.976374222,10.12806177,0,0.269122668,0,19.71393692
15,19,0.005506143,0,0,0.373925442,75.35372947,0,0,0,75.73316106
16,21,3.335796327,6.505493396,0,0.249994645,68.31566217,0,0,25.18960183,78.40694654
17,22,0.141500532,1.288133245,0,1.330633869,14.69329962,0,6.50364336,0,23.95721062
18,24,3.516009187,0.159249058,0,4.115354877,2.610712536,35.74600699,0.103721206,2.541169551,46.25105386
19,28,0.022095643,6.671934902,0,3.590581793,4.393169687,1.555134704,2.485516893,0,18.71843362
20,31,2.704916607,0.445151943,0,1.395656865,0,0.047827857,0,0,4.593553272
21,33,0.277300031,0.095819662,0,0.156086018,125.7558783,0,0,125.7558783,126.285084
22,35,0.007547945,0.11683547,0.023631358,1.561078122,0.019656107,0,0.810661501,0,2.539410503
23,36,39.8532297,0.164899641,0,0,31.93643547,0,0,29.90739846,71.9545648
24,37,0.059147622,0.296509299,0,1.153133783,14.33538958,0,0,0,15.84418029
25,38,4.694458237,1.894938947,0,0.340622895,4.51351067,0,0.087986437,0,11.53151719
26,39,1.024890127,0.913265675,0,0.182583812,1.092246206,0,0,0,3.21298582
27,40,1.542577815,2.922449407,0,0.202449652,0,1.789280281,0,0,6.456757155
28,41,1.835384091,0.07453097,0,1.229605329,48.99240701,0,0.054352676,45.53253523,52.18628008
29,42,1.365018133,6.700354178,0,0.115482774,3.206057549,0,0,0,11.38691263
30,43,0.856638789,0.262858834,0,3.250489159,35.59246358,0.216389178,0.024043242,35.0144971,40.20288278
31,45,0.78835016,0.138225938,0,3.66302117,0.018825858,0.04290794,0.1464591,0,4.797790166
32,46,1.001434998,0.407682139,0.298622938,0.997867984,1.156329428,0,0,0,3.861937487
33,47,2.121987257,0.65240257,0.417550275,0,1.960314567,0,0.648325093,0,5.800579762
34,50,0.073118603,0.118735652,0,0.126973955,0.296135441,2.104487539,0.281835505,0,3.001286695
35,52,0.106520677,0.36663312,0,0.010413792,42.74145598,0,0.215354684,29.55209605,43.44037825
36,53,0.875384204,12.15350991,0.87002766,0.992169344,21.43391526,0,0,2.697968555,36.32500639
37,54,0.02556976,0.136056572,0,0.941579742,6.18326107,0,0.086364455,0,7.372831599
38,56,0.088296366,1.745602048,0,25.80178507,0,0,1.038298492,0,28.67398198
39,57,2.244163502,0.006428434,0,0.209904337,37.57339307,5.750382217,0,10.8909466,45.78427156
40,59,0.183648132,0.105699976,0,0.223152274,74.35782587,0,0,73.8168562,74.87032626
41,60,4.311474046,2.078630124,0,0,1.537596547,0,0,0,7.927700717
42,61,58.62866374,10.54691091,0,55.4283916,707.7571234,0,0,0,832.3610896
43,62,0.00465195,0.127228395,0.255219873,7.766722884,0,4.634309153,0,0,12.78813226
44,64,0.021436561,0.004992315,0,0.171488421,107.3230157,0,0,107.3230157,107.520933
45,67,22.17171546,3.328572104,0,14.41417989,309.9187487,0,0,306.568136,349.8332161
46,69,62.84108363,1.068626529,0,14.18756244,2.502481076,0,0,0,80.59975367
47,70,0.337096864,18.64474568,0,0.032299974,20.63024789,0,0.119946917,3.432830481,39.76433732
48,71,0.483034133,0.13529939,0.03993072,0.197478545,1.519656343,0.551008268,0,0,2.926407399
49,72,0.331664604,0.003245726,0.011736767,0.538136692,0.022441637,0,0,0,0.907225426
50,73,0.000199629,0.111174263,0,0.166253938,0.025566844,0.581438242,0.019598491,0,0.904231407
51,75,0.265927638,0.018300782,0,0.145047063,0.810675319,0,0,0,1.239950802
52,76,10.56946343,0.460316843,0,0,179.9615168,6.145591854,0,175.9910612,197.1368889
53,77,0.030671717,0.043091555,0.1206061,1.473890425,32.7968312,3.828866796,0,7.851010452,38.2939578
54,78,0.425351075,0.080175635,0,0.910907657,31.57159441,0,0,31.57159441,32.98802878
55,79,0.731793462,2.430256959,0,7.589601012,4.913068306,30.48142895,3.156276725,0,49.30242541
56,80,0.016567251,0.000633951,0,0.547466823,0,0,14.27926218,0,14.84393021
57,83,25.56168986,1.938180028,0,4.827609771,14.60741022,0,0,0,46.93488988
58,84,1.558069924,0.8979291,0.001151664,0.139199618,0,0.028367301,0,0,2.624717607
59,85,0.60681334,3.661276713,0.188138664,0.695746442,0.098677719,1.665460606,0,0,6.916113484
60,87,0.206534217,1.430392922,0,0.159504792,2.52514745,0,0,0,4.321579381
