siteID,name,county,latitude,longitude,sampleDate,year,result,unit,detect,detectLimit
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,8/15/2017 9:10,2017,0.3,ug/l,FALSE,0.3
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,8/1/2017 8:45,2017,0.95,ug/l,TRUE,0.3
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,7/25/2017 9:00,2017,0.55,ug/l,TRUE,0.3
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,7/18/2017 9:30,2017,0.45,ug/l,TRUE,0.3
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,7/11/2017 9:03,2017,0.81,ug/l,TRUE,0.3
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,7/3/2017 9:10,2017,1.59,ug/l,TRUE,0.3
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,6/27/2017 9:00,2017,0.6,ug/l,TRUE,0.3
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,6/20/2017 10:30,2017,0.79,ug/l,TRUE,0.3
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,6/13/2017 8:51,2017,0.3,ug/l,FALSE,0.3
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,5/30/2017 10:15,2017,0.3,ug/l,FALSE,0.3
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,6/6/2017 8:35,2017,0.3,ug/l,FALSE,0.3
21130002,North Twin Lake East Beach,Calhoun,42.47990031,-94.63332029,5/23/2017 10:55,2017,0.3,ug/l,FALSE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,5/24/2017 10:35,2017,0.3,ug/l,FALSE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,6/7/2017 11:00,2017,0.3,ug/l,FALSE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,5/31/2017 11:15,2017,0.3,ug/l,FALSE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,6/14/2017 11:00,2017,0.3,ug/l,FALSE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,6/21/2017 11:23,2017,2.52,ug/l,TRUE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,6/28/2017 11:30,2017,4.55,ug/l,TRUE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,7/5/2017 12:55,2017,6.41,ug/l,TRUE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,7/12/2017 12:30,2017,5.57,ug/l,TRUE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,7/19/2017 13:18,2017,2.59,ug/l,TRUE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,8/1/2017 13:30,2017,0.52,ug/l,TRUE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,7/26/2017 12:55,2017,0.53,ug/l,TRUE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,8/8/2017 14:00,2017,0.35,ug/l,TRUE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,8/21/2017 13:10,2017,1,ug/l,TRUE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,8/16/2017 12:20,2017,0.65,ug/l,TRUE,0.3
21150001,Lake Anita Beach,Cass,41.42684974,-94.7794397,8/28/2017 13:30,2017,3.21,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,8/29/2017 13:30,2017,0.6,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,8/15/2017 12:30,2017,1.52,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,8/22/2017 11:55,2017,2.58,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,8/1/2017 12:17,2017,0.3,ug/l,FALSE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,8/8/2017 8:30,2017,0.69,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,7/25/2017 12:05,2017,4.49,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,7/18/2017 11:30,2017,4.1,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,7/11/2017 13:30,2017,0.95,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,7/3/2017 11:50,2017,4.06,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,6/27/2017 11:59,2017,1.18,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,6/13/2017 12:30,2017,0.41,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,6/20/2017 11:30,2017,5.29,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,5/30/2017 12:11,2017,0.35,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,6/6/2017 12:30,2017,0.44,ug/l,TRUE,0.3
21170001,Clear Lake State Park Beach,Cerro Gordo,43.1110858,-93.3961398,5/23/2017 13:15,2017,0.92,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,5/23/2017 14:05,2017,6.3,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,6/6/2017 14:15,2017,1.43,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,5/30/2017 13:58,2017,0.4,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,6/20/2017 12:15,2017,9.15,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,6/13/2017 13:30,2017,1.32,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,6/27/2017 13:40,2017,2.96,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,7/3/2017 12:30,2017,9.73,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,7/11/2017 14:00,2017,2.01,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,7/18/2017 12:06,2017,0.76,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,7/25/2017 13:55,2017,0.79,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,8/8/2017 8:00,2017,2.61,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,8/1/2017 14:12,2017,0.44,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,8/22/2017 12:45,2017,1.74,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,8/15/2017 12:00,2017,1.62,ug/l,TRUE,0.3
21170002,McIntosh Woods Beach,Cerro Gordo,43.120303,-93.458755,8/29/2017 14:00,2017,1.47,ug/l,TRUE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,8/30/2017 12:15,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,8/16/2017 12:50,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,8/23/2017 8:20,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,8/2/2017 14:30,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,8/9/2017 12:15,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,7/19/2017 13:15,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,7/26/2017 12:45,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,7/12/2017 13:45,2017,0.4,ug/l,TRUE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,7/5/2017 12:37,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,6/28/2017 12:12,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,6/7/2017 12:27,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,6/14/2017 12:45,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,6/21/2017 12:30,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,5/31/2017 12:00,2017,0.3,ug/l,FALSE,0.3
21260001,Lake Wapello Beach,Davis,40.81785435,-92.58032109,5/24/2017 12:45,2017,0.3,ug/l,FALSE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,5/24/2017 12:00,2017,0.3,ug/l,FALSE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,5/31/2017 12:49,2017,0.3,ug/l,FALSE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,6/7/2017 12:50,2017,0.3,ug/l,FALSE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,6/21/2017 12:20,2017,1.38,ug/l,TRUE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,6/14/2017 12:00,2017,0.3,ug/l,FALSE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,6/28/2017 12:43,2017,0.3,ug/l,FALSE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,7/5/2017 12:15,2017,0.43,ug/l,TRUE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,7/12/2017 12:15,2017,0.3,ug/l,FALSE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,7/26/2017 13:20,2017,0.11,ug/l,TRUE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,7/19/2017 12:00,2017,0.33,ug/l,TRUE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,8/9/2017 13:00,2017,0.3,ug/l,FALSE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,8/2/2017 12:54,2017,0.3,ug/l,FALSE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,8/23/2017 12:30,2017,0.3,ug/l,FALSE,0.3
21270001,Nine Eagles Beach,Decatur,40.5999943,-93.7664721,8/16/2017 11:30,2017,0.3,ug/l,FALSE,0.3
